id,CARMA,FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
19,Brommat,,Brommat,Brommat,Brommat,France,Hydro,Reservoir,444.0,44.534853,2.09002266667,"RTE, France Power Plant.csv"
20,Cruas,,Cruas,Cruas,Cruas,France,Nuclear,Steam Turbine,3824.0,44.6326855627,4.75410262256,"RTE, EU Nuclear Power.csv"
21,Chinon,,Chinon,Chinon,Chinon,France,Nuclear,Steam Turbine,3816.0,47.2281572959,0.168117775191,"RTE, EU Nuclear Power.csv"
22,Pragneres,,Pragneres,Pragneres,Pragneres,France,Hydro,Reservoir,292.0,42.809754,0.0130713333333,"RTE, France Power Plant.csv"
23,Elsta,,Elsta,Elsta,Elsta,Netherlands,Natural Gas,CCGT,475.0,51.327110975,3.781511325,"Tennet_Q42015, Netherlands Power Plant.csv"
24,Akzo delesto,,Delesto,Delesto del,Delesto,Netherlands,Natural Gas,CCGT,549.78,53.31954675,6.950487875,"Tennet_Q12015, Netherlands Power Plant.csv"
25,Leonard,,St leonard,St léonard,St léonard,Switzerland,Hydro,Reservoir,36.0,46.5169416513,7.88312020745,"BFE, Switzerland Power Plant.csv"
26,Stalden,,Stalden,Stalden,Stalden kwm,Switzerland,Hydro,Reservoir,185.0,46.5144641015,7.98549293207,"BFE, Switzerland Power Plant.csv"
27,Zermeiggern,,Zermeiggern,Zermeiggern,Zermeiggern,Switzerland,Hydro,Pumped Storage,76.0,46.0832408369,7.95719213483,"BFE, Switzerland Power Plant.csv"
28,Aarberg,,Aarberg,Aarberg,Aarberg,Switzerland,Hydro,Run-Of-River,15.5,47.0400152756,7.27323628073,"BFE, Switzerland Power Plant.csv"
29,Muehleberg wkw,,Muehleberg,Mühleberg,Mühleberg,Switzerland,Hydro,Run-Of-River,45.0,46.8565610445,7.9261246817,"BFE, Switzerland Power Plant.csv"
30,Caderousse,,Caderousse,Caderousse,Caderousse,France,Hydro,Run-Of-River,195.18,44.1104183333,4.751732,"RTE, France Power Plant.csv"
31,Dk sollac,,Dk dunkerque,Dk,Dk,France,Natural Gas,Combined Cycle Gas Engine (Ccge),810.0,51.04148,2.33460666667,"RTE, France Power Plant.csv"
32,Eems,,Eems,Eemscentrale ec,Eemscentrale,Netherlands,Natural Gas,CCGT,3134.7,53.43599285,6.86844785,"Tennet_Q42015, Netherlands Power Plant.csv"
33,Avignon,,Avignon,Avignon,Avignon,France,Hydro,Run-Of-River,176.0,43.9667995448,4.81437727132,"RTE, France Power Plant.csv"
34,Baix logis neuf,,Logis neuf,Baix logis neuf,Baix logis neuf,France,Hydro,Run-Of-River,215.0,44.7617944333,4.82509,"RTE, France Power Plant.csv"
35,Bourg valence,,Bourg les valence,Bourg les valence,Bourg les valence,France,Hydro,Run-Of-River,186.0,44.9760963333,4.87381233333,"RTE, France Power Plant.csv"
36,Donzere,,Bollene,Donzere mondragon,Donzere mondragon,France,Hydro,Run-Of-River,354.0,44.3495243333,4.73198733333,"RTE, France Power Plant.csv"
37,Mareges,,Mareges,Mareges,Mareges,France,Hydro,Run-Of-River,301.8,45.39457,2.35948666667,"RTE, France Power Plant.csv"
38,Sloecentrale,,Sloe netherland,Sloecentrale unit,Sloecentrale,Netherlands,Natural Gas,CCGT,900.0,51.4490772,3.67546845,"Tennet_Q42015, Netherlands Power Plant.csv"
39,Ijmuiden una,,Ijmond,Ijmond,Centrale ijmond,Netherlands,Natural Gas,CCGT,145.938,52.4697041254,4.62445168278,"Tennet_Q32015, Netherlands Power Plant.csv"
40,Belleville,,Belleville,Belleville,Belleville,France,Nuclear,Steam Turbine,2726.0,47.5096024074,2.87526333333,"RTE, EU Nuclear Power.csv"
41,Sainte croix,,Sainte croix,Sainte croix,Sainte croix,France,Hydro,Reservoir,158.0,43.74129,6.13941,"RTE, France Power Plant.csv"
42,Porcheville,,"Porcheville plant,",Porcheville,Porcheville,France,Oil,CHP,2400.0,48.9709608732,1.76628648942,"RTE, France Power Plant.csv"
43,Couesque,,Couesque,Couesque,Couesque,France,Hydro,Run-Of-River,124.5,44.679384381,2.57933446147,"RTE, France Power Plant.csv"
44,Oraison,,Oraison,Oraison,Oraison,France,Hydro,Reservoir,195.0,43.9362255667,5.8775711,"RTE, France Power Plant.csv"
45,Chamas,,Saint chamas,Saint chamas,Saint chamas,France,Hydro,Reservoir,165.0,43.5346246667,5.059888,"RTE, France Power Plant.csv"
46,Nogent,,Nogent,Nogent,Nogent,France,Nuclear,Steam Turbine,2726.0,48.5158875482,3.5178790903,"RTE, EU Nuclear Power.csv"
47,Etienne cantales,,Saint etienne cantales,St etienne cantales,St etienne cantales,France,Hydro,Reservoir,106.5,44.9456623333,2.22074566667,"RTE, France Power Plant.csv"
48,Golfech,,Golfech,Golfech,Golfech,France,Nuclear,Steam Turbine,2726.0,44.1058282762,0.845199336273,"RTE, EU Nuclear Power.csv"
49,Strasbourg,,Strasbourg,Strasbourg,Strasbourg,France,Hydro,Run-Of-River,174.82,48.5450103762,7.77817268962,"RTE, France Power Plant.csv"
50,Bathie,,Bathie,Bathie,Bathie,France,Hydro,Reservoir,1056.0,45.6528053333,6.50671,"RTE, France Power Plant.csv"
51,Serre poncon,,Serre poncon,Serre poncon,Serre poncon,France,Hydro,Reservoir,384.0,44.4689056667,6.25219166667,"RTE, France Power Plant.csv"
52,Monteynard,,Monteyard avigonnet,Monteynard,Monteynard,France,Hydro,Reservoir,366.0,45.040252,5.30288266667,"RTE, France Power Plant.csv"
53,Malgovert,,Brevieres malgovert,Malgovert,Malgovert,France,Hydro,Reservoir,396.0,45.6367975398,6.6571165804,"RTE, France Power Plant.csv"
54,Civaux,,Civaux,Civaux,Civaux,France,Nuclear,Steam Turbine,3122.0,46.4563815657,0.653328578225,"RTE, EU Nuclear Power.csv"
55,Tricastin,,Tricastin,Tricastin,Tricastin,France,Nuclear,Steam Turbine,3820.0,44.3299729348,4.72979751413,"RTE, EU Nuclear Power.csv"
56,Bort,,Bort les orgues,Bort,Bort,France,Hydro,Reservoir,240.0,45.4085633333,2.49920666667,"RTE, France Power Plant.csv"
57,Esteve,,Saint esteve janson,Saint esteve,Saint esteve,France,Hydro,Reservoir,156.0,43.8552744333,5.6455189,"RTE, France Power Plant.csv"
58,Gravelines,,Gravelines,Gravelines,Gravelines,France,Nuclear,Steam Turbine,5706.0,51.0140194442,2.13629348235,"RTE, EU Nuclear Power.csv"
59,Cattenom,,Cattenom,Cattenom,Cattenom,France,Nuclear,Steam Turbine,5448.0,49.4158895587,6.21769928669,"RTE, EU Nuclear Power.csv"
60,Flamanville,,Flamanville,Flamanville,Flamanville,France,Nuclear,Steam Turbine,2764.0,49.5365575963,-1.88209892425,"RTE, EU Nuclear Power.csv"
61,Fessenheim,,Fessenheim,Fessenheim,Fessenheim,France,Nuclear,Steam Turbine,1840.0,47.9078741922,7.55439492134,"RTE, EU Nuclear Power.csv"
62,Paluel,,Paluel,Paluel,Paluel,France,Nuclear,Steam Turbine,5528.0,49.858218665,0.635138661414,"RTE, EU Nuclear Power.csv"
63,Fessenheim hydro,,Fessenheim,Fessenheim,Fessenheim,France,Hydro,Run-Of-River,175.0,47.9157003333,7.55955166667,"RTE, France Power Plant.csv"
64,Chastang,,Chastang,Chastang,Chastang,France,Hydro,Run-Of-River,300.0,45.1448536667,2.01439666667,"RTE, France Power Plant.csv"
65,Sarrans,,Sarrans,Sarrans,Sarrans,France,Hydro,Reservoir,183.0,44.834359,2.71386966667,"RTE, France Power Plant.csv"
66,Rhinau,,Rhinau,Rhinau,Rhinau,France,Hydro,Run-Of-River,167.8,48.286207739,7.67326293986,"RTE, France Power Plant.csv"
67,Blayais,,Blayais,Blayais,Blayais,France,Nuclear,Steam Turbine,3804.0,45.2564177778,-0.2302648148,"RTE, EU Nuclear Power.csv"
68,Penly,,Penly,Penly,Penly,France,Nuclear,Steam Turbine,2764.0,49.9763658428,1.21097747546,"RTE, EU Nuclear Power.csv"
69,Marckolsheim,,Marckolsheim,Marckolsheim,Marckolsheim,France,Hydro,Run-Of-River,156.2,48.1574738258,7.57426751099,"RTE, France Power Plant.csv"
70,Dampierre,,Dampierre,Dampierre,Dampierre,France,Nuclear,Steam Turbine,3864.0,47.7325626896,2.51763414005,"RTE, EU Nuclear Power.csv"
71,Guillerme,,St. guillerme,Saint guillerme,Saint guillerme,France,Hydro,Reservoir,116.0,45.0387756667,6.06266166667,"RTE, France Power Plant.csv"
72,Villarodin mont cenis,,Villarodin,Villarodin,Villarodin,France,Hydro,Reservoir,360.0,45.20922,6.69991556667,"RTE, France Power Plant.csv"
73,Vouglans,,Vouglans,Vouglans,Vouglans,France,Hydro,Reservoir,288.0,46.3992734113,5.66014031047,"RTE, France Power Plant.csv"
74,Curbans,,Curbans,Curbans,Curbans,France,Hydro,Reservoir,165.0,44.4322596667,6.040113,"RTE, France Power Plant.csv"
75,Felsenau,,Felsenau,Felsenau,Felsenau,Switzerland,Hydro,Run-Of-River,11.94,46.9613443082,7.44286400767,"BFE, Switzerland Power Plant.csv"
76,Gondo,,Gondo,Gondo,Gondo,Switzerland,Hydro,Run-Of-River,46.0,46.2281959235,8.10708040296,"BFE, Switzerland Power Plant.csv"
77,Diemen,,Diemen,Diemen dm,Diemen,Netherlands,Natural Gas,CCGT,701.0,52.339053,5.0208652,"Tennet_Q42015, Netherlands Power Plant.csv"
78,Rijnmond energie,,Rijnmond netherland,Rijnmond,Rijnmond,Netherlands,Natural Gas,CCGT,1265.83333333,51.89378985,4.332011275,"Tennet_Q42015, Netherlands Power Plant.csv"
79,Swentibold,,Swentibold,Swentibold,Centrale swentibold,Netherlands,Natural Gas,,246.0,50.97680665,5.8089472,"Tennet_Q12015, Netherlands Power Plant.csv"
80,Innertkirchen,,Innertkirchen,Innertkirchen,Innertkirchen,Switzerland,Hydro,Reservoir,317.0,46.8613412954,8.44225189916,"BFE, Switzerland Power Plant.csv"
81,Handeck,,Handeck,Handeck diagonalpumpe,Handeck,Switzerland,Hydro,"Reservoir, Pumped Storage",291.0,46.5245788204,8.06672318139,"BFE, Switzerland Power Plant.csv"
82,Merwedekanaal,,Merwedekanaal,Merwedekanaal,Centrale merwedekanaal,Netherlands,Natural Gas,CCGT,428.04,52.09876625,5.08996365,"Tennet_Q42015, Netherlands Power Plant.csv"
83,Hemweg,,Hemweg,Hemweg hw,Centrale hemweg,Netherlands,Coal,"Thermal, Steam Turbine, Hard Coal",1321.0,52.4052066667,4.84598666667,"Tennet_Q32015, Netherlands Power Plant.csv"
84,Sambre poweo,,Pont sur sambre combustion,Pont sur sambre,Pont sur sambre,France,Natural Gas,CCGT,412.0,50.2299966667,3.85779,"RTE, France Power Plant.csv"
85,Gordola,,Verzasca,Verzasca gordola,Gordola,Switzerland,Hydro,Reservoir,132.5,46.18919393,8.44072745355,"BFE, Switzerland Power Plant.csv"
86,Claus,,Claus,Clauscentrale,Clauscentrale,Netherlands,Natural Gas,CCGT,1570.0,51.1501656176,5.90286007893,"Tennet_Q32015, Netherlands Power Plant.csv"
87,Amer,,Amer,Amercentrale,Amercentrale,Netherlands,Coal,"Thermal, Steam Turbine, Hard Coal",1305.0,51.7079434,4.84333535,"Tennet_Q12015, Netherlands Power Plant.csv"
88,Chatelard,,Chatelard vallorcine,Châtelard barberine,Châtelard vallorcine,Switzerland,Hydro,Pumped Storage,260.5,46.0617255962,6.95869413742,"BFE, Switzerland Power Plant.csv"
89,Verbois,,Verbois,Verbois,Verbois,Switzerland,Hydro,Run-Of-River,102.8,46.4173360073,6.94483448516,"BFE, Switzerland Power Plant.csv"
90,Chancy pougny,,Chancy pougny,Chancy pougny,Chancy pougny,Switzerland,Hydro,Run-Of-River,54.48,46.1601355945,5.97597430023,"BFE, Switzerland Power Plant.csv"
91,Hopflauenen trift,,Hopflauenen,Hopflauenen trift,Hopflauenen trift,Switzerland,Hydro,Reservoir,92.0,46.5469602547,7.9354832774,"BFE, Switzerland Power Plant.csv"
92,Seujet,,Seujet,Seujet,Seujet,Switzerland,Hydro,Run-Of-River,8.7,46.2036598739,6.13498579275,"BFE, Switzerland Power Plant.csv"
93,Croix,,Croix,Croix,Croix,Switzerland,Hydro,Reservoir,66.0,46.5274564645,7.43804986011,"BFE, Switzerland Power Plant.csv"
94,Gabi,,Gabi,Gabi,Gabi,Switzerland,Hydro,Run-Of-River,11.33,46.1882057668,8.07013349225,"BFE, Switzerland Power Plant.csv"
95,Niederried radelfingen,,Niederried radelfingen,Niederried,Niederried,Switzerland,Hydro,Run-Of-River,15.0,47.0031360883,7.24106783559,"BFE, Switzerland Power Plant.csv"
96,,,Aussois + combe d'avrieux,Combe d'avrieux,Combe d'avrieux,France,Hydro,Reservoir,198.0,45.21424,6.716265,"RTE, France Power Plant.csv"
97,,,Borssele,Borssele,Borssele,Netherlands,Nuclear,Steam Turbine,515.0,51.43129,3.718105,"Tennet_Q42015, EU Nuclear Power.csv"
98,,,Combigolfe,Combigolfe,Combigolfe,France,Natural Gas,CCGT,430.0,43.41168,4.86867,"RTE, France Power Plant.csv"
99,,,Croix metz toul,Croix metz,Croix metz,France,Natural Gas,Combined Cycle Gas Engine (Ccge),413.0,48.68418,5.90319,"RTE, France Power Plant.csv"
100,,,Eglisau,Eglisau,Eglisau,Switzerland,Hydro,Run-Of-River,47.0,47.3769207134,8.22364002888,"BFE, Switzerland Power Plant.csv"
101,,,Flevo maxima centrale,Maxima fl,Maxima centrale,Netherlands,Natural Gas,CCGT,996.0,52.5768604,5.5295725,"Tennet_Q22015, Netherlands Power Plant.csv"
102,,,Hemweg,Hemweg hw,Centrale hemweg,Netherlands,Natural Gas,CCGT,1017.0,52.4015686667,4.85050423333,"Tennet_Q42015, Netherlands Power Plant.csv"
103,,,Langeweide,Lage weide,Centrale lage wide,Netherlands,Natural Gas,CCGT,266.0,52.1073045,5.06360763333,"Tennet_Q42015, Netherlands Power Plant.csv"
104,,,Maasvlakte electrabel,Mvl rotterdam,Mvl centrale rotterdam ,Netherlands,Coal,"Thermal, Steam Turbine, Hard Coal",800.0,51.9446930333,4.07067246667,"Tennet_Q22015, Netherlands Power Plant.csv"
105,,,Magnum netherland,Magnum,Magnum centrale,Netherlands,Natural Gas,CCGT,1326.0,53.4452927667,6.8555301,"Tennet_Q42015, Netherlands Power Plant.csv"
106,,,Martigues ponteau,Martigues ponteau,Martigues ponteau,France,Natural Gas,CCGT,930.0,43.35836595,5.021366,"RTE, France Power Plant.csv"
107,,,Moerdijk,Moerdijk,Moerdijk,Netherlands,Natural Gas,CCGT,1574.0,51.6854198667,4.58079536667,"Tennet_Q42015, Netherlands Power Plant.csv"
108,,,Roca,Roca roca,Centrale roca ,Netherlands,Natural Gas,,218.0,51.9535908,4.56178013333,"Tennet_Q22015, Netherlands Power Plant.csv"
109,Dukovany,,,Dukovany,Dukovany,Czech Republic,Nuclear,Steam Turbine,2010.0,49.084975,16.1494744445,"CEPS, EU Nuclear Power.csv"
110,Temelin,,,Temelín,Temelin,Czech Republic,Nuclear,Steam Turbine,2160.0,49.180545,14.3812605555,"CEPS, EU Nuclear Power.csv"
111,Vieze,,,Monthey vièze,Monthey vièze,Switzerland,Hydro,Run-Of-River,13.6,46.2523586038,6.95393602661,"BFE, Switzerland Power Plant.csv"
112,Tine,,,Monthey tine,Monthey tine,Switzerland,Hydro,Run-Of-River,9.8,46.2523586038,6.95393602661,"BFE, Switzerland Power Plant.csv"
113,Lessoc,,,Lessoc,Lessoc,Switzerland,Hydro,Run-Of-River,8.56,46.5054450944,7.05769199478,"BFE, Switzerland Power Plant.csv"
114,Emile huchet cc,,,Emile huchet,Emile huchet,France,Natural Gas,,860.0,49.13706,6.70735,"RTE, France Power Plant.csv"
115,Emile huchet,,,Emile huchet,Emile huchet,France,Coal,"Steam Turbine, Hard Coal",1134.0,49.1560989232,6.86441302643,"RTE, France Power Plant.csv"
116,Lucy,,,Lucy,Lucy,France,Coal,"Steam Turbine, Hard Coal",270.0,46.66857,4.35004,"RTE, France Power Plant.csv"
117,Provence,,,Provence,Provence,France,Coal,"Steam Turbine, Hard Coal",888.0,44.979415,5.494785,"RTE, France Power Plant.csv"
118,Vogelgrun,,,Vogelgrun,Vogelgrun,France,Hydro,Run-Of-River,140.5,48.0190657461,7.55094109711,"RTE, France Power Plant.csv"
119,Randens,,,Randens,Randens,France,Hydro,Run-Of-River,124.2,45.535348,6.3110545,"RTE, France Power Plant.csv"
120,Hermillion,,,Hermillon,Hermillon,France,Hydro,Run-Of-River,115.6,45.28378665,6.353995,"RTE, France Power Plant.csv"
121,Laurent,,,St laurent,St. laurent,France,Nuclear,Steam Turbine,1912.0,47.72003,1.578795,"RTE, EU Nuclear Power.csv"
122,Gennevilliers,,,Gennevilliers,Gennevilliers,France,Natural Gas,,215.0,48.93516165,2.28072,"RTE, France Power Plant.csv"
123,Fieschertal,,,Fieschertal,Fieschertal,Switzerland,Hydro,Run-Of-River,65.0,46.8050056361,8.46543501033,"BFE, Switzerland Power Plant.csv"
124,Vissoie,,,"Vissoie ""groupe auxiliaire""","Vissoie ""groupe auxiliaire""",Switzerland,Hydro,"Reservoir, Run-Of-River",50.68,46.3074189515,7.58191284456,"BFE, Switzerland Power Plant.csv"
125,Giumaglio,,,Giumaglio,Giumaglio,Switzerland,Hydro,Run-Of-River,8.94,46.2783648609,8.67592891707,"BFE, Switzerland Power Plant.csv"
126,Bitsch,,,Bitsch,Bitsch biel,Switzerland,Hydro,Reservoir,356.0,46.4692633907,7.50202001323,"BFE, Switzerland Power Plant.csv"
127,Martigny bourg,,,Martigny bourg,Martigny bourg,Switzerland,Hydro,Run-Of-River,22.0,46.0894623069,7.06138188344,"BFE, Switzerland Power Plant.csv"
128,Turtmann,,,Turtmann,Turtmann,Switzerland,Hydro,Reservoir,24.0,46.2984401299,7.69397468202,"BFE, Switzerland Power Plant.csv"
129,Litziruti arosa,,,Arosa litzirüti,Litzirüti,Switzerland,Hydro,Run-Of-River,5.0,46.7997138601,9.70526843758,"BFE, Switzerland Power Plant.csv"
130,Luen,,,Molinis lüen,"Lüen plessur, clasaurer",Switzerland,Hydro,Run-Of-River,7.2,46.8391517486,9.5695105858,"BFE, Switzerland Power Plant.csv"
131,Filisur,,,Filisur,Filisur,Switzerland,Hydro,Run-Of-River,65.0,46.6710194847,9.68860781778,"BFE, Switzerland Power Plant.csv"
132,Pintrun,,,Pintrun,Pintrun,Switzerland,Hydro,Run-Of-River,6.48,46.777180749,9.08875622883,"BFE, Switzerland Power Plant.csv"
133,Soazza,,,Soazza,Soazza,Switzerland,Hydro,Run-Of-River,83.0,46.3763078347,8.75100461688,"BFE, Switzerland Power Plant.csv"
134,Reichenau,,,Reichenau,Reichenau,Switzerland,Hydro,Run-Of-River,19.06,46.6855335043,9.32366550723,"BFE, Switzerland Power Plant.csv"
135,Sedrun,,,Sedrun,Sedrun,Switzerland,Hydro,"Reservoir, Run-Of-River",150.75,46.6758028255,8.77359526871,"BFE, Switzerland Power Plant.csv"
136,Siebnen,,,Wägital siebnen,Siebnen,Switzerland,Hydro,Reservoir,51.52,46.8971363225,8.2798856938,"BFE, Switzerland Power Plant.csv"
137,Champsec,,,Champsec,Champsec,Switzerland,Hydro,Run-Of-River,16.45,46.0575926787,7.24551044194,"BFE, Switzerland Power Plant.csv"
138,Riddes,,,Riddes,Riddes,Switzerland,Hydro,"Run-Of-River, Reservoir",278.5,46.3785736267,7.2004636324,"BFE, Switzerland Power Plant.csv"
139,Goschenen,,,Göschenen andermatt,Göschenen andermatt,Switzerland,Hydro,Run-Of-River,33.26,46.5494911184,8.31806790063,"BFE, Switzerland Power Plant.csv"
140,Fionnay mauvoisin,,,Fionnay mauvoisin,Fionnay mauvoisin,Switzerland,Hydro,Reservoir,140.0,46.2507340084,7.40871044997,"BFE, Switzerland Power Plant.csv"
141,Goschenernalp,,,Göschenen göscheneralp,Göschenen göscheneralp,Switzerland,Hydro,Reservoir,164.8,46.6586814276,8.53432370095,"BFE, Switzerland Power Plant.csv"
142,Rempen,,,Wägital rempen,Rempen,Switzerland,Hydro,Pumped Storage,66.24,47.3244604264,8.75095488686,"BFE, Switzerland Power Plant.csv"
143,Reckingen,,,Reckingen,Reckingen,Switzerland,Hydro,Run-Of-River,39.5,47.0566502516,8.04632534003,"BFE, Switzerland Power Plant.csv"
144,Klingnau,,,Klingnau,Klingnau,Switzerland,Hydro,Run-Of-River,42.6,47.60215105,8.23161236674,"BFE, Switzerland Power Plant.csv"
145,Augst,,,Augst,Augst,Switzerland,Hydro,Run-Of-River,35.0,47.5067084832,7.66228021259,"BFE, Switzerland Power Plant.csv"
146,Bremgarten zufikon,,,Bremgarten zufikon,Bremgarten zufikon,Switzerland,Hydro,Run-Of-River,20.0,47.3473741666,8.34388506509,"BFE, Switzerland Power Plant.csv"
147,Piottino,,,Piottino,Piottino,Switzerland,Hydro,Run-Of-River,72.9,46.7298563675,9.07843416829,"BFE, Switzerland Power Plant.csv"
148,Stalvedro aet,,,Stalvedro aet,Stalvedro aet,Switzerland,Hydro,Run-Of-River,14.0,46.5155100554,8.67798446906,"BFE, Switzerland Power Plant.csv"
149,Nuova biaschina,,,Nuova biaschina,Biaschina,Switzerland,Hydro,Run-Of-River,141.0,46.5640544768,8.22738286224,"BFE, Switzerland Power Plant.csv"
150,Kandergrund,,,Kandergrund,Kandergrund,Switzerland,Hydro,Run-Of-River,19.0,46.5461486992,7.65992479976,"BFE, Switzerland Power Plant.csv"
151,Bannwil,,,Bannwil,Bannwil,Switzerland,Hydro,Run-Of-River,53.76,47.0009478031,8.23563505724,"BFE, Switzerland Power Plant.csv"
152,Wynau,,,Wynau,Wynau,Switzerland,Hydro,Run-Of-River,20.2,47.2559756125,7.80117056654,"BFE, Switzerland Power Plant.csv"
153,Kallnach,,,Kallnach,Kallnach,Switzerland,Hydro,Run-Of-River,8.3,47.0209090076,7.23181524511,"BFE, Switzerland Power Plant.csv"
154,Goule,,,Goule,Goule,Switzerland,Hydro,Run-Of-River,5.87,47.1907682082,6.96272804015,"BFE, Switzerland Power Plant.csv"
155,Spiez,,,Spiez,Spiez,Switzerland,Hydro,Run-Of-River,18.66,46.6906920201,7.6780297362,"BFE, Switzerland Power Plant.csv"
156,Laufenburg,,,Laufenburg,Laufenburg,Switzerland,Hydro,Run-Of-River,110.0,47.4322662031,7.89123396777,"BFE, Switzerland Power Plant.csv"
157,Martina,,,Pradella martina,Martina,Switzerland,Hydro,Reservoir,84.0,46.6342737129,9.32219567123,"BFE, Switzerland Power Plant.csv"
158,Etzelwerk altendorf,,,Etzelwerk,Etzelwerk altendorf,Switzerland,Hydro,Pumped Storage,142.44,46.9780879074,8.99084907661,"BFE, Switzerland Power Plant.csv"
159,Hinterthal huribach,,,Hüribach,Hinterthal hüribach,Switzerland,Hydro,Run-Of-River,4.7,46.9738830748,8.77374334576,"BFE, Switzerland Power Plant.csv"
160,Sahli glattalp,,,Glattalp,Sahli glattalp,Switzerland,Hydro,Run-Of-River,9.3,46.9166506421,8.86487379857,"BFE, Switzerland Power Plant.csv"
161,Wernisberg,,,Wernisberg,Wernisberg,Switzerland,Hydro,Run-Of-River,20.4,47.0036319124,8.64831309207,"BFE, Switzerland Power Plant.csv"
162,Hinterthal muota,,,Muota,Hinterthal muota,Switzerland,Hydro,Run-Of-River,8.8,46.9738830748,8.77374334576,"BFE, Switzerland Power Plant.csv"
163,Stechelberg,,,Stechelberg,Stechelberg,Switzerland,Hydro,Run-Of-River,4.3,46.5439280881,7.90069741471,"BFE, Switzerland Power Plant.csv"
164,Dallenwil,,,Dallenwil,Dallenwil,Switzerland,Hydro,Run-Of-River,18.24,46.9179303404,8.39073043739,"BFE, Switzerland Power Plant.csv"
165,Obermatt,,,Obermatt nebenkraftwerk,"Zwingen, obermatt",Switzerland,Hydro,Run-Of-River,33.92,46.9457663986,8.20622308517,"BFE, Switzerland Power Plant.csv"
166,Isenthal,,,Isenthal bolzbach,Isenthal bolzbach,Switzerland,Hydro,Run-Of-River,12.0,46.8905997786,8.60475906588,"BFE, Switzerland Power Plant.csv"
167,Burglen,,,Bürglen unterschächen,Bürglen unterschächen,Switzerland,Hydro,Run-Of-River,23.0,46.9853565142,8.68698458927,"BFE, Switzerland Power Plant.csv"
168,Arniberg,,,Arniberg,Arniberg,Switzerland,Hydro,Run-Of-River,13.0,46.7701557397,8.66776806461,"BFE, Switzerland Power Plant.csv"
