None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Classification,Classification,Classification,Classification,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File
None,CARMA,GEO,OPSD,WRI,CARMA,GEO,OPSD,WRI,CARMA,GEO,OPSD,WRI,CARMA,GEO,OPSD,WRI,CARMA,GEO,OPSD,WRI,CARMA,GEO,OPSD,WRI,CARMA,GEO,OPSD,WRI,CARMA,GEO,OPSD,WRI
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Genissiat seyssel,Genissiat,Genissiat,Genissiat,Hydro,Hydro,Hydro,Hydro,,Dam On River With Reservoir,Run-of-river,,France,France,France,France,396.0,420.0,420.0,420.0,45.9,46.053,46.05271,,6.1166667,5.813,5.81285,,,,RTE,France Power Plant.csv
1,Beauchastel,Beauchastel,Beauchastel,Beauchastel,Hydro,Hydro,Hydro,Hydro,,Dam With Run-Of-River Generation,Run-of-river,,France,France,France,France,192.7,204.0,198.0,198.0,44.9333333,44.824,44.82397,,4.9,4.811,4.81049,,,,RTE,France Power Plant.csv
2,Maasvlakte,Maasvlakte,Maasvlakte mv,Centrale maasvlakte,Coal,Coal,Coal,Coal,,Thermal,"Steam turbine, Hard coal",,Netherlands,Netherlands,Netherlands,Netherlands,1040.0,1080.0,2178.0,1110.0,51.95944,51.9588,51.96262,51.9550238,4.02041,4.026,4.02152,4.0254589,,,Tennet_Q12015,Netherlands Power Plant.csv
3,Cheylas,Cheylas le,Cheylas,Cheylas,Hydro,Hydro,Hydro,Hydro,,Pumped Storage,Pumped storage,,France,France,France,France,497.12,480.0,485.0,485.0,45.373688,45.3846,45.3846,,5.993764,6.0021,6.00207,,,,RTE,France Power Plant.csv
4,Chooz,Chooz,Chooz,Chooz,Nuclear,Nuclear,Nuclear,Nuclear,,,Steam turbine,,France,France,France,France,3120.0,3120.0,3000.0,3120.0,50.09,50.09,50.09136,,4.7894444444,4.789444444,4.79242,,,,RTE,EU Nuclear Power.csv
5,Ottmarsheim,Ottmarsheim,Ottmarsheim,Ottmarsheim,Hydro,Hydro,Hydro,Hydro,,Dam With Run-Of-River Generation,Run-of-river,,France,France,France,France,156.0,156.0,156.0,156.0,47.786551,47.774,47.77399,,7.509352,7.523,7.52246,,,,RTE,France Power Plant.csv
6,Bugey,Bugey,Bugey,Bugey,Nuclear,Nuclear,Nuclear,Nuclear,,,Steam turbine,,France,France,France,France,3724.0,3724.0,3580.0,3724.0,45.3252777778,45.7973181269,45.80141,,5.2708333333,5.27061189011,5.26614,,,,RTE,EU Nuclear Power.csv
7,Sisteron,Sisteron,Sisteron,Sisteron,Hydro,Hydro,Hydro,Hydro,,Dam On River With Reservoir,Reservoir,,France,France,France,France,214.0,256.0,214.0,214.0,44.18758,44.21,44.17517,,5.946228,5.921,5.95215,,,,RTE,France Power Plant.csv
8,Pied borne,Pied borne,Pied borne,Borne,Hydro,Hydro,Hydro,Hydro,,Dam On A Lake,Reservoir,,France,France,France,France,110.0,110.0,109.4,109.4,44.4756859841,44.479,44.47198,,3.98434638977,3.986,3.98867,,,,RTE,France Power Plant.csv
9,Pouget,Pouget le,Pouget,Pouget,Hydro,Hydro,Hydro,Hydro,,Dam On A Lake,Reservoir,,France,France,France,France,416.1,572.5,446.9,446.9,44.049404,44.06,43.65604,,2.755276,2.769,3.40178,,,,RTE,France Power Plant.csv
10,Aston,Aston,Aston,Aston,Hydro,Hydro,Hydro,Hydro,,Dam On A Lake,Run-of-river,,France,France,France,France,90.0,116.0,104.0,104.0,42.774407,42.777,42.77668,,1.673424,1.677,1.67671,,,,RTE,France Power Plant.csv
11,Brennilis,"Brennilis combustion plant,",Brennilis,Brennilis,Oil,Natural Gas,Oil,Oil,,OCGT,,,France,France,France,France,295.0,295.0,304.0,304.0,48.358106,48.3567,48.35702,,-3.850888,-3.8706,-3.87053,,,,RTE,France Power Plant.csv
12,Kembs,Kembs,Kembs,Kembs,Hydro,Hydro,Hydro,Hydro,,Dam With Run-Of-River Generation,Run-of-river,,France,France,France,France,154.15,156.0,153.7,153.7,47.689483,47.655,47.65534,,7.503234,7.52,7.51959,,,,RTE,France Power Plant.csv
13,Gerstheim,Gerstheim,Gerstheim,Gerstheim,Hydro,Hydro,Hydro,Hydro,,Dam With Run-Of-River Generation,Run-of-river,,France,France,France,France,95.2,141.0,140.5,140.5,48.381424,48.404,48.40385,,7.703083,7.728,7.72775,,,,RTE,France Power Plant.csv
14,Brommat,Brommat,Brommat,Brommat,Hydro,Hydro,Hydro,Hydro,,Dam On River With Reservoir,Reservoir,,France,France,France,France,333.46,444.0,406.0,406.0,44.068629,44.768,44.76793,,0.901918,2.684,2.68415,,,,RTE,France Power Plant.csv
15,Cruas,Cruas,Cruas,Cruas,Nuclear,Nuclear,Nuclear,Nuclear,,,Steam turbine,,France,France,France,France,3824.0,3824.0,3660.0,3824.0,44.6330555556,44.6324911325,44.63251,,4.7566666667,4.75459120098,4.75105,,,,RTE,EU Nuclear Power.csv
16,Chinon,Chinon,Chinon,Chinon,Nuclear,Nuclear,Nuclear,Nuclear,,,Steam turbine,,France,France,France,France,3816.0,3816.0,3620.0,3816.0,47.2305555556,47.2253563321,47.22856,,0.1705555556,0.165557769974,0.16824,,,,RTE,EU Nuclear Power.csv
17,Pragneres,Pragneres,Pragneres,Pragneres,Hydro,Hydro,Hydro,Hydro,,Pumped Storage,Reservoir,,France,France,France,France,194.3,292.0,189.2,189.2,42.787162,42.821,42.8211,,0.018884,0.01,0.01033,,,,RTE,France Power Plant.csv
18,Elsta,Elsta,Elsta,Elsta,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,CCGT,,,Netherlands,Netherlands,Netherlands,Netherlands,475.0,460.0,475.0,456.0,51.31,51.3331,51.33319,51.3321539,3.777778,3.7787,3.78947,3.7800973,,,Tennet_Q42015,Netherlands Power Plant.csv
19,Akzo delesto,Delesto,Delesto del,Delesto,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,CCGT,,,Netherlands,Netherlands,Netherlands,Netherlands,549.78,525.0,530.0,530.0,53.32045,53.3186,53.31953,53.319607,6.95605,6.9543,6.94811,6.9434915,,,Tennet_Q12015,Netherlands Power Plant.csv
20,Leonard,St leonard,St léonard,St léonard,Hydro,Hydro,Hydro,Hydro,,Water Discharged From Another Project,Reservoir,,Switzerland,Switzerland,Switzerland,Switzerland,31.68,34.0,36.0,36.0,46.229076,46.2606,46.260587705,47.3175029,7.359417,7.4446,7.44474052981,9.2837233,,,BFE,Switzerland Power Plant.csv
21,Stalden,Stalden,Stalden,Stalden kwm,Hydro,Hydro,Hydro,Hydro,,Dam On A Lake,Reservoir,,Switzerland,Switzerland,Switzerland,Switzerland,160.0,185.0,185.0,185.0,46.2334091719,46.24027,46.2302203342,47.3539569,7.87273406982,7.8744,7.85719305844,8.3376446,,,BFE,Switzerland Power Plant.csv
22,Zermeiggern,Zermeiggern,Zermeiggern,Zermeiggern,Hydro,Hydro,Hydro,Hydro,,Pumped Storage,Pumped storage,,Switzerland,Switzerland,Switzerland,Switzerland,76.0,74.0,74.0,74.0,46.084056,46.0824,46.0832665108,,7.95741,7.9572,7.95696640448,,,,BFE,Switzerland Power Plant.csv
23,Aarberg,Aarberg,Aarberg,Aarberg,Hydro,Hydro,Hydro,Hydro,,Weir On A River,Run-of-river,,Switzerland,Switzerland,Switzerland,Switzerland,14.609,15.5,15.2,15.2,47.0443934279,47.0378,47.0378523989,,7.27578163147,7.272,7.27192721071,,,,BFE,Switzerland Power Plant.csv
